Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP
5NPE24AF0GH388547,2016,Hyundai,Sonata,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,25 miles/gallon,38 miles/gallon,2.4L L4 DOHC 16V,7A,FWD,"$21,750 USD"
3FA6P0HD0FR307549,2015,Ford,Fusion,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,,,1.5L L4 DOHC 16V,6A,FWD,"$23,935 USD"
1FTEW1EF4FFB62663,2015,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,,,5.0L V8,6A,4WD,"$41,215 USD"
2C3CCAAG8KH565105,2019,Chrysler,300,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,19 miles/gallon,30 miles/gallon,3.6L V6 SOHC 24V,8A,RWD,"$28,995 USD"
3N1CN7AP1GL880726,2016,Nissan,Versa,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,27 miles/gallon,36 miles/gallon,1.6L L4 DOHC 16V,5M,FWD,"$11,990 USD"
JTHBA30GX45002267,2004,Lexus,ES 330,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,20 miles/gallon,29 miles/gallon,3.3L V6 DOHC 24V,5A,FWD,"$31,725 USD"
2A8HR54189R647248,2009,Chrysler,Town & Country,SPORTS VAN,Minivan,4,Gasoline,16 miles/gallon,23 miles/gallon,3.8L V6 OHV 12V,6A,FWD,"$29,645 USD"
NM0LS7E76H1334039,2017,Ford,Transit Connect,CARGO VAN,Van,,Gasoline,20 miles/gallon,28 miles/gallon,2.5L L4 DOHC 16V,6A,FWD,"$23,900 USD"
2T2ZK1BA5DC111454,2013,Lexus,RX 350,SPORT UTILITY 4-DR,Wagon,5,Gasoline,18 miles/gallon,25 miles/gallon,3.5L V6 DOHC 24V,5A,FWD,"$39,310 USD"
KM8SR4HF7HU228169,2017,Hyundai,Santa Fe,SPORT UTILITY 4-DR,Wagon,,Gasoline,17 miles/gallon,23 miles/gallon,3.3L V6 DOHC 24V,6A,FWD,"$38,700 USD"
