vin,price,condition,fuel,size,type,odometer,state,lat,long
1C4PJMCB8HW621172,20490,good,gas,full-size,SUV,23595.0,mn,45.9786,-94.34200000000001
1FTPW14V87KA72703,12990,excellent,gas,full-size,truck,143000.0,va,38.9268,-78.1796
KM8SC73DX3U555425,3750,excellent,gas,full-size,SUV,164000.0,va,38.9268,-78.1796
1GKEK13Z24J105112,6250,excellent,gas,full-size,SUV,156000.0,va,38.9268,-78.1796
4S3BNAB62H3044044,14199,like new,gas,full-size,sedan,35650.0,va,39.1501,-78.26899999999999
1FAHP3F23CL432745,6500,excellent,gas,compact,sedan,99000.0,va,38.9268,-78.1796
1GNEK13ZX3R318988,4990,excellent,gas,full-size,SUV,234000.0,va,38.9268,-78.1796
1GNKRGKD1DJ112661,13500,excellent,gas,full-size,SUV,95500.0,tx,33.5159,-101.934
3GTRCVE0XAG232994,1,excellent,gas,full-size,truck,186049.0,tx,26.2736,-98.3552
1C6RR7MT2DS708486,26950,excellent,gas,full-size,pickup,68000.0,mn,46.9132,-98.036
5NPEB4AC9DH544599,8999,excellent,gas,mid-size,sedan,99800.0,mn,46.9132,-98.036
1HGCP2F47AA039437,7999,good,gas,mid-size,sedan,129000.0,mn,46.9132,-98.036
2GKFLVE3XG6178585,25999,like new,gas,mid-size,SUV,35500.0,mn,46.9132,-98.036
1FAFP55S14A208794,3999,good,gas,mid-size,sedan,112000.0,mn,46.9132,-98.036
1D4HB48D15F564727,5500,good,gas,full-size,SUV,164000.0,mn,46.9132,-98.036
3D7KU28D84G160408,7999,good,gas,full-size,pickup,194000.0,mn,46.9132,-98.036
1B3HB48A59D198356,4999,good,gas,mid-size,sedan,123000.0,mn,46.9132,-98.036
1B3HB48AX9D191712,3499,fair,gas,mid-size,sedan,98000.0,mn,46.9133,-98.036
3D7MX38C27G711076,27999,excellent,diesel,full-size,pickup,68000.0,mn,46.9132,-98.036
1C4SDJDT5EC278728,22499,like new,gas,mid-size,SUV,78000.0,mn,46.9132,-98.036
3C4FY48B64T277633,3999,good,gas,mid-size,sedan,83000.0,mn,46.9132,-98.036
JTMBK31V565002109,6520,good,gas,mid-size,SUV,192223.0,wa,48.7551,-122.47200000000001
5FNRL38678B021451,6870,good,gas,mid-size,mini-van,167882.0,wa,48.7551,-122.47200000000001
1FMFK18517LA81024,7965,good,gas,full-size,SUV,148500.0,wa,48.7551,-122.47200000000001
2C8GP64L55R270676,3995,good,gas,full-size,mini-van,237600.0,wa,48.7551,-122.47200000000001
1GNEK13R4XR153204,5995,good,gas,full-size,SUV,198895.0,wa,48.7551,-122.47200000000001
1B3BD1FB8BN560917,5995,good,gas,mid-size,sedan,147318.0,wa,48.7551,-122.47200000000001
2A8HR54109R673553,6999,good,gas,mid-size,mini-van,122000.0,mn,46.9132,-98.036
2A8HR54P68R827010,6899,good,gas,mid-size,mini-van,124000.0,mn,46.9132,-98.036
2GNFLGE32G6275407,17999,like new,gas,mid-size,SUV,51900.0,mn,46.9132,-98.036
2HKYF18506H002138,7995,good,gas,full-size,SUV,153741.0,wa,48.7551,-122.47200000000001
WBADT63413CK31161,4470,good,gas,mid-size,sedan,170000.0,wa,48.7551,-122.47200000000001
1FTNW21P54ED16532,11995,good,diesel,full-size,truck,198900.0,wa,48.7551,-122.47200000000001
1GCRKSE7XDZ284354,21999,like new,gas,full-size,truck,57900.0,mn,46.9132,-98.036
1G1ZE5ST2HF212882,13999,excellent,gas,full-size,sedan,79900.0,mn,46.9132,-98.036
1FALP52U5RA224965,499,fair,gas,mid-size,sedan,175300.0,wa,48.7551,-122.47200000000001
YV1MS382062152581,2630,good,gas,mid-size,sedan,188250.0,wa,48.7551,-122.47200000000001
1HGCG16522A043500,2995,good,gas,mid-size,sedan,238000.0,wa,48.7551,-122.47200000000001
4S3BH675X26643610,3490,fair,gas,mid-size,wagon,186709.0,wa,48.7551,-122.47200000000001
WDBRF40J64A613258,5995,good,gas,compact,sedan,135000.0,wa,48.7551,-122.47200000000001
1HGCM56304A046414,4230,good,gas,mid-size,sedan,220000.0,wa,48.7551,-122.47200000000001
1ZVBP8AMXC5283886,11995,good,gas,mid-size,coupe,105567.0,wa,48.7551,-122.47200000000001
5GZCZ53477S850977,4495,good,gas,mid-size,SUV,172817.0,wa,48.7551,-122.47200000000001
1GNSKKE7XDR184618,19990,excellent,gas,full-size,SUV,139836.0,mn,47.9202,-97.045
1G1FB1RS8H0177835,19990,excellent,gas,full-size,coupe,76373.0,mn,47.9202,-97.045
3C4PDCGB7FT670278,15995,excellent,gas,full-size,SUV,24586.0,nm,35.0873,-106.572
2FMDK49C78BA98112,7795,good,gas,full-size,SUV,140123.0,mn,46.8422,-96.7691
2CNFLNEC8B6387825,7995,good,gas,full-size,SUV,140290.0,mn,46.8422,-96.7691
2FMDK4AC6ABA74661,9695,good,gas,full-size,SUV,142786.0,mn,46.8422,-96.7691
1FMCU9GD5KUB38459,17695,good,gas,full-size,SUV,58893.0,mn,46.8422,-96.7691
2FMDK4JC2DBA97858,12495,good,gas,full-size,SUV,97846.0,mn,46.8422,-96.7691
2C4RDGCG8ER209951,9795,good,gas,full-size,van,109926.0,mn,46.8422,-96.7691
JTEES42A482039277,10995,good,gas,full-size,SUV,159219.0,mn,46.8422,-96.7691
4T3BK3BB6CU067866,11000,excellent,gas,full-size,wagon,94000.0,wa,48.7768,-122.51799999999999
JTDKDTB35D1556763,6900,good,hybrid,compact,hatchback,130000.0,mn,46.8907,-96.9258
1GCRKSE76DZ138761,15990,good,gas,full-size,pickup,108260.0,mn,47.9202,-97.045
1FTWW32F8XEC53009,24000,excellent,diesel,full-size,truck,96200.0,wa,48.9025,-122.706
1GNSKGKC9JR200463,29990,excellent,gas,full-size,SUV,132287.0,mn,47.9202,-97.045
1FM5K7D86JGB77942,24990,excellent,gas,full-size,SUV,37990.0,mn,47.9202,-97.045
3C4PDDGGXHT553427,15999,good,gas,mid-size,SUV,75680.0,mn,46.5762,-95.5749
4T1BF28BXYU113706,2200,fair,gas,full-size,sedan,270330.0,wa,48.8625,-122.595
2A8HR54P78R788461,5995,excellent,gas,full-size,mini-van,128322.0,mn,45.8326,-95.3891
5GAKRCED4CJ106334,13990,excellent,gas,full-size,SUV,129094.0,mn,47.9202,-97.045
3FAHP0HG8BR336553,7995,good,gas,mid-size,sedan,160000.0,wa,48.6404,-122.49799999999999
2C4RDGEG7KR646056,18000,like new,gas,full-size,mini-van,41000.0,wa,48.7596,-122.488
2T1KR32E95C486247,7495,good,gas,compact,hatchback,125000.0,wa,48.7596,-122.488
YV1MS382X52116332,2200,fair,gas,full-size,sedan,178174.0,wa,48.6952,-122.412
5N1DR2MMXKC619329,25495,excellent,gas,full-size,SUV,39524.0,mn,45.8326,-95.3891
5TDKK3DC9BS004752,7999,excellent,gas,full-size,mini-van,145331.0,dc,38.2481,-77.4681
5GAKRCED1CJ239035,13990,excellent,gas,full-size,SUV,120432.0,mn,47.9202,-97.045
NM0GE9F75E1152282,11990,excellent,gas,full-size,mini-van,130066.0,mn,47.9202,-97.045
1FM5K7D89EGA41097,15990,excellent,gas,full-size,SUV,133280.0,mn,47.9202,-97.045
KMHTC6AD4CU023489,6495,excellent,gas,mid-size,hatchback,110004.0,mn,45.8327,-95.3892
1G4PW5SK4G4172295,11995,excellent,gas,mid-size,sedan,29266.0,mn,45.8327,-95.3891
JTDKB22UX63199760,3995,excellent,hybrid,mid-size,hatchback,192420.0,mn,45.8327,-95.3892
1FBZX2CG6FKB21768,16990,good,gas,full-size,van,199412.0,mn,47.9202,-97.045
1J4FA29176P756708,16990,excellent,gas,mid-size,SUV,56136.0,mn,47.9202,-97.045
1J4FA29156P715798,12990,good,gas,mid-size,SUV,158335.0,mn,47.9202,-97.045
1GCRKSE35BZ148935,14990,good,gas,full-size,pickup,142951.0,mn,47.9202,-97.045
1J4RR6GT4BC560535,15990,excellent,gas,full-size,SUV,135723.0,mn,47.9202,-97.045
3GCUKREC4EG220862,21990,good,gas,full-size,pickup,141731.0,mn,47.9202,-97.045
1G1BE5SM2H7117324,14990,like new,gas,mid-size,sedan,23315.0,mn,47.9202,-97.045
3VWBM31Y14M353009,6490,good,gas,mid-size,convertible,54297.0,mn,47.9202,-97.045
3VWRF31Y07M411432,5490,good,gas,mid-size,convertible,109422.0,mn,47.9202,-97.045
3GTRKWE28AG124433,9000,good,gas,full-size,truck,249750.0,mn,46.8759,-96.7658
JN8AZ1MW3EW518241,9500,good,gas,full-size,SUV,145750.0,mn,46.8759,-96.7658
1FDBF2B60GEC18159,21995,excellent,gas,full-size,pickup,177364.0,ny,43.4883,-76.3935
1G1PA5SH8F7229689,9195,good,gas,full-size,sedan,53615.0,mn,44.6144,-94.0724
2GNFLEEK0F6393773,15299,like new,gas,full-size,SUV,49189.0,mn,44.6139,-94.0723
1FMCU9G91EUE40394,10995,excellent,gas,mid-size,SUV,102000.0,mn,44.6143,-94.0723
JF2SH6AC3AG711280,11000,excellent,gas,compact,wagon,28418.0,wa,48.8446,-122.555
WAULC68EX4A180446,3995,good,gas,compact,sedan,135941.0,mn,44.1635,-94.0135
2LMDJ8JCXABJ28526,9850,good,gas,full-size,SUV,129960.0,fl,28.5697,-80.8191
5XYKT3A69FG572742,12500,good,gas,full-size,SUV,97185.0,fl,28.1914,-80.6633
3GCPYCEF2LG189885,44995,excellent,gas,full-size,pickup,14361.0,ny,43.4883,-76.3935
5TFUY5F17EX414821,24995,excellent,gas,full-size,pickup,77541.0,ny,43.4883,-76.3935
1ZVBP8JS9A5127124,43995,like new,gas,full-size,coupe,5354.0,fl,28.0982,-80.6728
2G1WT58NX79321566,4200,good,gas,full-size,sedan,161982.0,fl,28.2082,-80.6886
2HGFG3A8XDH520382,10600,excellent,gas,compact,coupe,82740.0,fl,28.1331,-80.7112
4S4BSANC9J3289208,25995,excellent,gas,mid-size,wagon,33938.0,fl,28.0982,-80.6728
3N1AB7AP0KY414068,14995,like new,gas,compact,sedan,16654.0,fl,28.0982,-80.6728
3N1AB7AP6HY346965,12888,excellent,gas,compact,sedan,28213.0,fl,28.0982,-80.6728
JM1CR293660116145,3995,excellent,gas,compact,mini-van,129811.0,fl,28.0778,-80.6413
1FALP5247RG274960,2795,excellent,gas,mid-size,sedan,51589.0,fl,28.0778,-80.6413
1LNHM83W44Y688562,5999,excellent,gas,full-size,sedan,54895.0,fl,28.3951,-80.7494
1GYEE637070181172,3995,like new,gas,full-size,SUV,85166.0,fl,30.4455,-84.3261
1J4GL58K22W252805,2995,like new,gas,full-size,SUV,214231.0,fl,30.4455,-84.3261
1GNDS13S322270921,2995,like new,gas,full-size,SUV,218872.0,fl,30.4455,-84.3261
1N4AL21E88N483288,3495,like new,gas,full-size,sedan,190268.0,fl,30.4455,-84.3261
1D4GP45R56B563554,1998,good,gas,mid-size,mini-van,157813.0,fl,30.4878,-84.1463
2G4WS52J811266651,2498,excellent,gas,mid-size,sedan,133068.0,fl,30.488000000000003,-84.1464
2G1WB5E39F1126609,7900,like new,gas,mid-size,sedan,112000.0,wa,48.8124,-122.486
2FMDK4KC8DBA75703,10900,like new,gas,mid-size,SUV,125000.0,wa,48.8124,-122.486
1FAHP2E88EG149818,17250,like new,gas,full-size,sedan,48136.0,mn,44.1538,-93.99600000000001
1GCEK19J08Z142356,10900,like new,gas,full-size,truck,180000.0,wa,48.8124,-122.486
YV1BX6970BD008838,5500,good,gas,mid-size,sedan,59504.0,wa,48.7974,-122.445
3GNFK16Z35G281348,6250,excellent,gas,full-size,SUV,253000.0,wa,48.8625,-122.595
YV1FA8845L2462084,1200,fair,gas,mid-size,sedan,267112.0,wa,48.7974,-122.445
3VWD17AJ8FM283961,7300,excellent,gas,mid-size,sedan,133000.0,wa,48.7823,-122.525
1FTYR1CM4KKB11879,28900,excellent,gas,full-size,van,16219.0,ny,42.4759,-73.3773
3VWC57BU5KM073692,17987,excellent,gas,mid-size,sedan,15000.0,wa,48.754,-122.47200000000001
1VWBT7A34HC004870,15987,excellent,gas,mid-size,sedan,40000.0,wa,48.754,-122.47200000000001
1VWLA7A39KC000606,19987,excellent,gas,full-size,sedan,15014.0,wa,48.748999999999995,-122.48899999999999
JTDBE32K953001681,3490,good,gas,mid-size,sedan,169000.0,ny,42.7198,-73.8207
1G1PG5SB2G7130782,12975,excellent,gas,compact,sedan,47905.0,wa,45.885,-118.31
1G1JC5SH5E4184341,4975,excellent,gas,compact,sedan,218117.0,wa,45.885,-118.31
1C3CCCAB9FN732147,8995,excellent,gas,compact,sedan,92958.0,wa,45.885,-118.31
3FA6P0HR9DR347489,8975,excellent,gas,mid-size,sedan,98191.0,wa,45.885,-118.31
KMHDU4AD2AU126669,6975,excellent,gas,compact,sedan,105913.0,wa,45.885,-118.31
1C4RJFBG4HC701376,23975,excellent,gas,mid-size,SUV,87053.0,wa,45.885,-118.31
1FM5K8D84GGC88567,18975,excellent,gas,full-size,SUV,92974.0,wa,45.885,-118.31
5TDZK23C88S150966,3750,excellent,gas,full-size,mini-van,283000.0,wa,46.2591,-119.211
4T4BF1FK8DR326103,7950,excellent,gas,mid-size,sedan,133000.0,wa,45.4881,-122.58
JTHKD5BH7C2108393,11995,excellent,hybrid,compact,sedan,109223.0,wa,45.4881,-122.58
4S4BP61C277341879,6200,good,gas,mid-size,hatchback,108164.0,wa,46.0746,-119.086
4S3BNAN68G3O59027,19900,excellent,gas,compact,sedan,49700.0,wa,46.0634,-118.35
KM8J33A42HU496305,19588,good,gas,full-size,SUV,2180.0,wa,43.6307,-116.251
1FTWW33F7XEB20515,34999,excellent,diesel,full-size,pickup,87737.0,wa,45.581,-122.39
3GKFK16R4XG503783,3000,fair,gas,full-size,SUV,233617.0,wa,46.0471,-118.40899999999999
JN1AZ0CP5CT022973,4500,good,electric,compact,hatchback,54900.0,wa,46.3844,-118.944
YV4B2982181020043,3200,good,gas,mid-size,wagon,237700.0,wa,46.3844,-118.944
5J6TF2H51AL011297,10995,excellent,gas,mid-size,sedan,139204.0,wa,45.4881,-122.58
WMWML33529TP98592,6995,excellent,gas,sub-compact,coupe,101960.0,wa,45.4881,-122.58
JM1BL1VG3B1900741,6995,excellent,gas,compact,sedan,102825.0,wa,45.4881,-122.58
JTDZN3EU9C3173010,8000,excellent,hybrid,compact,hatchback,125325.0,dc,38.8415,-77.3314
WBAAG3307C8376887,8200,good,gas,compact,sedan,182277.0,wa,43.6307,-116.251
JF2SJAEC4EH442580,10500,good,gas,full-size,SUV,127649.0,ny,42.1406,-75.9035
2FMDK3JC6CBA91148,10995,good,gas,full-size,SUV,92723.0,nm,35.0865,-106.564
1FMHK8D80BGA83740,12995,good,gas,full-size,SUV,95690.0,nm,35.0865,-106.564
1C4BJWEGXEL301704,31995,good,gas,full-size,SUV,80267.0,nm,35.0865,-106.564
5J8TB1H52BA005941,8995,good,gas,full-size,SUV,162050.0,nm,35.0865,-106.564
3GTEK13J48G309973,13995,good,gas,full-size,truck,189707.0,nm,35.0865,-106.564
1FT8W3BT8BEA11196,35995,good,diesel,full-size,truck,98455.0,nm,35.0865,-106.564
1GCEC19099E134429,10995,good,gas,full-size,truck,129550.0,nm,35.0865,-106.564
1GC1KVEY2JF173009,42995,good,diesel,full-size,truck,67078.0,nm,35.0865,-106.564
JTEBU5JR8G5377644,30995,good,gas,full-size,SUV,51902.0,nm,35.0865,-106.564
JTLKT324X40166781,1495000,like new,gas,mid-size,sedan,79577.0,tx,26.0349,-97.5569
1HGCP2F77BA016784,10800,excellent,gas,mid-size,pickup,66890.0,ny,42.101000000000006,-75.9266
1HGCP2F77BA016784,10800,excellent,gas,mid-size,sedan,66890.0,ny,42.101000000000006,-75.9266
3TMCZ5AN5LM341809,39950,new,gas,mid-size,pickup,4038.0,nm,35.101,-106.51799999999999
1FTEW1EG8FFB92306,29999,excellent,gas,full-size,truck,48150.0,nm,35.1307,-106.516
4A3AC81H72E040828,4995,excellent,gas,compact,coupe,116362.0,nm,35.0873,-106.572
1G1PC5SB3E7163363,9997,excellent,gas,mid-size,sedan,54982.0,nm,35.0717,-106.509
3GCUKSEC0FG151404,34900,excellent,gas,full-size,truck,94990.0,fl,27.3908,-80.3246
1J4GX48S61C591663,2000,good,gas,full-size,SUV,249757.0,tx,26.2159,-98.3253
1HGCP2F84AA020837,7700,like new,gas,mid-size,sedan,134672.0,fl,27.3925,-80.3296
3HGCM56456G701910,6500,good,gas,full-size,sedan,176333.0,fl,27.3908,-80.3246
3N1AB61E58L656529,3500,good,gas,compact,sedan,192107.0,fl,27.3908,-80.3246
1FAHP27145G124320,3995,excellent,gas,full-size,sedan,122000.0,fl,27.5008,-80.36
